,Restaurant,City,Area,Address,Food type,Price,Avg ratings,Total ratings,longitude,latitude
0,Jahanpanah,Agra,Agra Cantt,"E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra","North Indian, Mughlai",425.0,3.9,140,78.01154444,27.16166111
1,Time2Eat - Mama Chicken,Agra,Agra Cantt,"Main Market, Sadar Bazaar, Agra Cantt, Agra",North Indian,250.0,3.6,94,78.01160797,27.16083249
2,Chokho Jeeman Marwari Jain Bhojanalya,Agra,Civil Lines,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Rajasthani,200.0,4.0,87,77.99809167,27.19592778
3,Pinch Of Spice,Agra,Civil Lines,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra","North Indian, Chinese, Mughlai",500.0,4.2,177,78.00755278,27.201725
4,Peshawri - ITC Mughal,Agra,"ITC Mughal, Tajganj","ITC Mughal, Fatehabad Road, Tajganj, Agra","North Indian, Mughlai",1250.0,4.3,133,78.044095,27.160934
5,Taj Bano - ITC Mughal,Agra,"ITC Mughal, Tajganj","ITC Mughal, Fatehabad Road, Tajganj, Agra",Mughlai,1250.0,4.0,41,78.044095,27.160934
6,Dawat-e-Nawab - Radisson Blu,Agra,"Radisson Blu, Tajganj","Radisson Blu, Taj East Gate Road, Tajganj, Agra","North Indian, Mughlai",1800.0,3.8,46,78.057044,27.163303
7,Dasaprakash Restaurant,Agra,Rakabganj,"Meher Cinema Complex, Gwalior Road, Rakabganj, Agra","South Indian, Desserts",275.0,4.1,121,78.01505278,27.16510833
8,The Charcoal Chimney,Agra,Tajganj,"Hotel Samovar, Fatehabad Road, Tajganj, Agra","North Indian, Chinese, Continental, Mughlai",550.0,3.4,70,78.04299,27.159795
9,Pind Balluchi,Agra,Tajganj,"Opposite Saga Emporium, Fatehabad Road, Tajganj, Agra","North Indian, Mughlai",450.0,3.7,175,78.04725,27.15777222
10,Pizza Hut,Agra,Tajganj,"8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra","Italian, Pizza",350.0,4.4,134,78.03471389,27.16169444
11,Thaaliwala,Agra,Tajganj,"Next To ITC Mughal Hotel, Fatehabad Road, Tajganj, Agra","North Indian, Fast Food",350.0,4.1,168,78.045359,27.158822
12,650 - The Global Kitchen,Ahmedabad,Ambavadi,"Shreekunj Mandapam, Beside Golden Tulip Bunglows & Tulip Citadel, Manekbaug, Ambavadi, Ahmedabad","Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",450.0,4.2,1582,72.5375741,23.01045111
13,Patang - The Revolving Restaurant,Ahmedabad,Ashram Road,"Chinubhai Tower, Nehru Bridge Corner, Ashram Road, Ahmedabad","Continental, Chinese, North Indian",900.0,3.7,1315,72.572009,23.0261651
14,Huber & Holly,Ahmedabad,Bodakdev,"7 B, Circle  B, Opposite Rajpath Club, Sarkhej, Gandhinagar Highway, Bodakdev, Ahmedabad","Ice Cream, Desserts, Continental",150.0,4.5,217,72.5123947,23.0383109
15,@Mango,Ahmedabad,Bodakdev,"Opposite Sindhu Bhawan, Bodakdev, Ahmedabad","North Indian, Continental, Mexican, Italian",400.0,4.1,769,72.5017644,23.0401633
16,Fozzie's Pizzaiolo,Ahmedabad,Bodakdev,"Ground Floor, Maruti Crystal, Opposite Rajpath Club, Service Road, Bodakdev, Ahmedabad","Pizza, Italian, Beverages, Desserts",450.0,4.3,731,72.5098065,23.0330688
17,La Pino'z Pizza,Ahmedabad,Bodakdev,"Shop 10,  Circle B, Nyay Marg, Bodakdev, Ahmedabad","Pizza, Italian",250.0,4.4,113,72.5124872,23.0382314
18,Mocha,Ahmedabad,Bodakdev,"6-9, Ground Floor, Devashish Business Park, Opposite Krishna Complex, Bodakdev, Ahmedabad","Cafe, Continental, Desserts",500.0,4.4,944,72.511307,23.0318508
19,Blue -  Rooftop Cafe Restaurant Bistro,Ahmedabad,C G Road,"10th Floor, Balaji Heights Buliding, Behind Tanishq Showroom, C G Road, Ahmedabad","North Indian, Cafe, Italian, Mexican, Continental",500.0,3.8,63,72.5570374,23.0290619
20,MoMo Caf�� - Courtyard By Marriott,Ahmedabad,"Courtyard By Marriott, Satellite","Courtyard By Marriott, Ramdevnagar Cross Road, Satellite, Ahmedabad","North Indian, South Indian, Asian, Continental",700.0,3.6,375,72.5115815,23.027929
21,Cryo Lab,Ahmedabad,Ellis Bridge,"Ground Floor, Arjun Avenue, Opposite Samartheshwar Mahadev, Law Garden, Ahmedabad","Desserts, Ice Cream",175.0,4.6,166,72.55998429,23.02874796
22,Swati Snacks,Ahmedabad,Ellis Bridge,"Near Law Garden, Ellis Bridge, Ahmedabad","Fast Food, Street Food, South Indian",225.0,4.4,697,72.55903311,23.02443364
23,Brick Kitchen,Ahmedabad,Ghatlodia,"At Five Petals Hotel & Banquets, Near Chanakyapuri Bridge, Ghatlodia, Ahmedabad","North Indian, Chinese, Continental",450.0,4.3,325,72.5316389,23.0643038
24,Kabir Restaurant,Ahmedabad,Gurukul,"JB Tower, Opposite Doordarshan Kendra, Drive In Road, Gurukul, Ahmedabad","North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",300.0,3.8,432,72.5239649,23.04850469
25,Puffizza,Ahmedabad,Gurukul,"103, Kairos, Opposite Mahatma Gandhi Labour Institute, Drive In Road, Gurukul, Ahmedabad","Italian, Fast Food",350.0,4.3,744,72.53774978,23.04619268
26,Cafe Alfresco,Ahmedabad,Navrangpura,"101, Dynamic House, Vijay Cross Road, Above HDFC Bank, Opposite Child Care Hospital, Navrangpura, Ahmedabad","Cafe, Beverages, Desserts, Pizza",350.0,4.0,404,72.5498285,23.0437235
27,The Cafe Baraco,Ahmedabad,Navrangpura,"34, Shribhuvan Complex, Near Memnagar Fire Station, Navrangpura, Ahmedabad","Cafe, Italian",300.0,4.4,317,72.5504755,23.0443367
28,Nini's Kitchen,Ahmedabad,Prahlad Nagar,"12, First Floor, Camps Corner 2, Opposite Prahlad Nagar Garden, Prahlad Nagar, Ahmedabad","North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",475.0,4.5,1138,72.5072645,23.0117723
29,Yanki Sizzlers,Ahmedabad,Thaltej,"4, Ground Floor, Binori Ambit, Next to Renault Showroom, Thaltej Circle, Thaltej, Ahmedabad","Continental, Italian, Chinese",600.0,4.1,1041,72.5181257,23.0534466
30,The Garden Cafe - The Fern,Ahmedabad,"The Fern, Sola","The Fern, Near Sola Overbridge, S G Highway, Sola, Ahmedabad","North Indian, Italian, Asian, South Indian",600.0,4.1,192,72.5222172,23.0640914
31,Mazzo,Ahmedabad,Vastrapur,"27, Sunshine Villa, Sunrise Park Society, Vastrapur, Ahmedabad","Cafe, American, Continental, Armenian, Fast Food",275.0,3.9,166,72.5281083,23.0418026
32,Turquoise Villa,Ahmedabad,Vastrapur,"Ground Floor, Shanay - 1, Near AMA, IIM Road, Vastrapur, Ahmedabad",Continental,600.0,4.0,535,72.5434513,23.0285142
33,Aryan Family's Delight,Allahabad,Civil Lines,"Ground Floor, Vinayak City Centre, Sardar Patel Marg, Civil Lines, Allahabad","North Indian, South Indian, Fast Food",250.0,3.4,57,81.834502,25.454648
34,Bean Here,Allahabad,Civil Lines,"Vinayak Pushp, 77 Elgin Road, Near Florista, Civil Lines, Allahabad","Cafe, Fast Food",175.0,3.3,76,81.83316667,25.45343611
35,Bikanerwala,Allahabad,Civil Lines,"2A, JMD Bhawan, Strachey Road, Civil Lines, Allahabad","North Indian, Street Food, Fast Food",250.0,3.2,51,81.832616,25.451517
36,Friends Forever,Allahabad,Civil Lines,"13/13, Sardar Patel Marg, Civil Lines, Allahabad","North Indian, Chinese",300.0,3.4,83,81.835585,25.457687
37,KFC,Allahabad,Civil Lines,"P Square Mall, Civil Lines, Allahabad","American, Fast Food",250.0,3.4,58,81.839744,25.449659
38,McDonald's,Allahabad,Civil Lines,"Shop 4, 34-B, M G Marg, Civil Lines, Allahabad",Fast Food,200.0,3.3,53,81.834279,25.450329
39,Tandoor Restaurant,Allahabad,Civil Lines,"17/33, Mahatama Gandhi Marg, Civil Lines, Allahabad","North Indian, Chinese",250.0,3.2,151,81.860187,25.443994
40,The Tamarind Tree,Allahabad,Civil Lines,"60 C, Thornhill Road, Civil Lines, Allahabad","South Indian, Chinese",250.0,3.4,106,81.834841,25.459775
41,Cafe El Chico,Allahabad,Civil Lines,"24, Mahatma Gandhi, Civil Lines, Allahabad","Continental, Italian",500.0,3.6,59,81.83616667,25.44987222
42,Eat On,Allahabad,Civil Lines,"Palace Compound, Near Palace Cinema, MG Marg, Civil Lines, Allahabad",North Indian,100.0,3.7,105,81.834236,25.450377
43,Hot Stuff,Allahabad,Civil Lines,"21 C, Lal Bhadhur Shastri Marg, Civil Lines, Allahabad","North Indian, Fast Food",250.0,3.5,105,81.841889,25.45235
44,Paradise,Allahabad,Civil Lines,"19/35, MG Marg, Civil Lines, Allahabad","Desserts, Fast Food",250.0,3.6,57,81.83168056,25.45031667
45,Sagar Ratna,Allahabad,Tagore Town,"3/3, Near Balson Crossing, Hashimpur Road, Tagore Town, Allahabad","South Indian, North Indian, Chinese, Continental",200.0,3.5,134,81.859682,25.457116
46,Moti Mahal Delux,Allahabad,"Vinayak City Centre Mall, Civil Lines","Second Floor, Vinayak City Center Mall, SP Marg, Civil Lines, Allahabad","Mughlai, North Indian, Chinese",400.0,3.3,58,81.834492,25.454697
47,Makhan Fish and Chicken Corner,Amritsar,Basant Nagar,"21-A, Near Madaan Hospital, Majitha Road, Basant Nagar, Amritsar","North Indian, Chinese",350.0,3.4,345,74.884359,31.64362
48,Charming Chicken,Amritsar,Basant Nagar,"Shop 3, Opposite Nari Nikaten, Majithia Road, Near Basant Nagar, Amritsar",North Indian,150.0,3.9,151,74.884384,31.644532
49,Crystal Restaurant,Amritsar,INA Colony,"Crystal Chowk, Queens Road, INA Colony, Amritsar","North Indian, Mughlai",400.0,3.4,122,74.875878,31.635658
50,Brijwasi Chat Bhandar,Amritsar,INA Colony,"Crystal Chowk, Cooper Road, Near INA Colony",Street Food,75.0,3.6,56,74.87575556,31.63488333
51,Bubby Fish & Chicken Corner,Amritsar,INA Colony,"Near Crystal Chowk, Cooper Road, INA Colony, Amritsar",North Indian,150.0,3.5,91,74.875828,31.635671
52,The Yellow Chilli,Amritsar,Ranjit Avenue,"108, GRD Towers, District Shopping Center, Ranjit Avenue, Amritsar","North Indian, Mughlai, Chinese",600.0,3.4,98,74.86276111,31.65558889
53,La Roma Pizzeria,Amritsar,Ranjit Avenue,"SCO 6, District Shopping Complex, Ranjit Avenue, Amritsar","Fast Food, Italian",200.0,3.5,111,74.86299167,31.65044167
54,Sakhis Watz Kukin,Amritsar,Ranjit Avenue,"M 47, Green Avenue, opp Main Park, Amritsar","North Indian, Chinese",350.0,3.6,51,74.8649101,31.6466891
55,The Kulcha Land,Amritsar,Ranjit Avenue,"Opposite M.K Hotel, District Shopping Centre, Ranjit Avenue, Amritsar","North Indian, Street Food",100.0,3.9,206,74.86416667,31.65319167
56,Shudh Restaurant,Amritsar,Town Hall,"Opposite Gurudwara Saragarhi, Near Dharm Singh Market Chowk, Fuwara, Town Hall, Amritsar","North Indian, South Indian, Chinese, Fast Food",300.0,3.4,44,74.87981389,31.62404722
57,Bade Bhai Ka Brothers' Dhaba,Amritsar,Town Hall,"Near Amritsar Municipal Corporation, Town Hall, Amritsar","North Indian, Fast Food",250.0,3.7,94,74.87461944,31.62394722
58,Bharawan Da Dhaba,Amritsar,Town Hall,"Near Amritsar Municipal Corporation, Town Hall, Amritsar","North Indian, Fast Food",250.0,3.5,461,74.87833333,31.62615278
59,Brothers Dhaba,Amritsar,Town Hall,"Golden Temple Out Road, Opposite Amritsar Municipal Corporation, Town Hall, Amritsar",North Indian,250.0,3.8,276,74.877666,31.625981
60,Brothers' Amritsari Dhaba,Amritsar,Town Hall,"Phawara Chowk, Town Hall, Amritsar",North Indian,200.0,3.8,71,74.87957778,31.62261111
61,Kesar Da Dhabha,Amritsar,Town Hall,"Near Telephone Exchange, Chowk Passian, Shastri Market, Near Town Hall, Amritsar",North Indian,250.0,4.1,878,74.873005,31.624386
62,Beera Chicken Corner,Amritsar,White Avenue,"Opposite Bandari Hospital, Sehaj Avenue, Majitha Road, Near White Avenue, Amritsar",North Indian,250.0,3.8,192,74.883997,31.641991
63,Surjit Food Plaza,Amritsar,White Avenue,"Shop 4, Nehru Shopping Complex, Lawrence Road, White Avenue, Amritsar",North Indian,500.0,3.5,96,74.877002,31.644818
64,Kream N Krunch,Aurangabad,Akashwani,"2, Near Akashwani Circle, Mahesh Nagar, Jalna Road, Akashwani, Aurangabad","North Indian, Chinese, Continental, Italian",400.0,3.6,240,75.34601667,19.87621944
65,Angeethi Restaurant,Aurangabad,CIDCO,"Seven Hill Flyover, Jalna Road, Vidya Nagar, CIDCO, Aurangabad","North Indian, Chinese",300.0,3.3,63,75.35394167,19.87473333
66,Domino's Pizza,Aurangabad,CIDCO,"8, Upper Ground Floor, City Pride Commercial Complex, Kali Bawdi, Jalna Road, CIDCO, Aurangabad",Pizza,350.0,3.1,19,75.340775,19.87610556
67,Hotel Laadli,Aurangabad,CIDCO,"Goodwill Complex, Opposite Cidco Busstand, N-2, CIDCO, Aurangabad","North Indian, South Indian",175.0,3.4,46,75.3671268,19.8755223
68,Indiana Veg Restaurant,Aurangabad,CIDCO,"Plot 2, Near High Court, N-3, CIDCO, Aurangabad","South Indian, North Indian, Chinese, Fast Food",225.0,3.4,75,75.360232,19.874449
69,Madhuban Restaurant - Welcome Hotel Rama International,Aurangabad,CIDCO,"Welcome Hotel Rama International, Opposite High Court, CIDCO, Aurangabad","North Indian, Chinese, Continental, Italian, Mexican",900.0,3.4,94,75.358888,19.875908
70,Mauj Restaurant,Aurangabad,CIDCO,"31, Kailash Arcade, Opposite Bank of Baroda, Connaught Place, CIDCO, Aurangabad","Italian, Fast Food, North Indian, Chinese",250.0,3.3,47,75.36479167,19.87642778
71,Naivedya,Aurangabad,CIDCO,"Sakal Office, Jalna Road, CIDCO, Aurangabad",North Indian,250.0,3.4,71,75.3684187,19.874103
72,d' Curry House,Aurangabad,"Hotel Green Olive, Nirala Bazar","Hotel Green Olive, Near Baba Petrol Pump, Nirala Bazar, Aurangabad","Continental, Chinese, Biryani, North Indian",500.0,3.6,73,75.316722,19.875337
73,Ashoka's Veg Restaurant,Aurangabad,Nirala Bazar,"31, Opposite Kohinoor Plaza, Near M P Law College, Nirala Bazar, Aurangabad","South Indian, Chinese, North Indian",200.0,3.3,46,75.32340278,19.87963056
74,Kareem's Fine Dining,Aurangabad,Nirala Bazar,"A1-A3, Motiwala Complex, Below KFC Restaurant, Nirala Bazar, Aurangabad","Mughlai, Biryani",350.0,3.3,45,75.32350278,19.88025556
75,That Baat,Aurangabad,Nirala Bazar,"Near Vivekanand College, Samarth Nagar, Nirala Bazar Road, Aurangabad",Maharashtrian,225.0,3.4,34,75.322405,19.875016
76,Bhoj Restaurant,Aurangabad,Nirala Bazar,"First Floor, Bhau Pathak Smriti Kamgar Bhavan, CBS Road, Nirala Bazar, Aurangabad",North Indian,225.0,3.7,89,75.317475,19.87802778
77,Kareem's Kabab & Biryani,Aurangabad,"Prozone Mall, Chicalthana","First Floor, Food Court, Prozone Mall, MIDC Industrial Area, Chicalthana, Aurangabad",Mughlai,325.0,3.4,39,75.37235278,19.87699444
78,Great Sagar Restaurant,Aurangabad,Shahgunj,"Near Bhadkal Gate, VIP Road, Shahgunj, Aurangabad","North Indian, Mughlai",300.0,3.3,74,75.321461,19.888716
79,Kailash Restaurant,Aurangabad,Usmanpura,"Rachanakar colony, Railway Station Road, Usmanpura, Aurangabad","North Indian, Chinese, South Indian, Fast Food",225.0,3.3,76,75.31889444,19.86696944
80,Sultans of Spice,Bangalore,"BluPetal Hotel, Koramangala","BluPetal Hotel, 60 Jyoti Nivas College Road, Koramangala 5th Block, Bangalore","North Indian, Mughlai",650.0,4.1,2416,77.61542793,12.93328392
81,The Fatty Bao - Asian Gastro Bar,Bangalore,Indiranagar,"610, 3rd Floor, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",Asian,1200.0,4.7,2369,77.64539558,12.97022064
82,Toit,Bangalore,Indiranagar,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore","Italian, American, Pizza",1000.0,4.8,10934,77.64070876,12.9791658
83,Three Dots & A Dash,Bangalore,Indiranagar,"840/1,100 Feet Road, Metro Pillar 56-57, Indiranagar, Bangalore","European, Continental",650.0,3.9,1354,77.64048882,12.98041024
84,Bombay Brasserie,Bangalore,Indiranagar,"2989/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Modern Indian,750.0,4.2,231,77.645748,12.970324
85,Glen's Bakehouse,Bangalore,Indiranagar,"297, 100 Feet Road, Indiranagar, Bangalore","Bakery, Desserts, Cafe",400.0,4.0,3533,77.64062494,12.97909556
86,Onesta,Bangalore,Indiranagar,"501, Binnamangala Extension, 1st stage, C.M.H Road, Indiranagar, Bangalore","Pizza, Cafe, Italian",300.0,4.3,1413,77.64368467,12.97845292
87,Onesta,Bangalore,JP Nagar,"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore","Pizza, Cafe, Italian",300.0,4.6,781,77.59679094,12.90622878
88,ECHOES Koramangala,Bangalore,Koramangala 5th Block,"44, 4th B Cross, Koramangala 5th Block, Bangalore","Continental, American, Italian, North Indian, Chinese, Cafe",475.0,4.7,276,77.615797,12.934179
89,Truffles,Bangalore,Koramangala 5th Block,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore","American, Burger, Cafe",400.0,4.7,9667,77.61429269,12.93329764
90,The Black Pearl,Bangalore,Koramangala 5th Block,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore","North Indian, European, Mediterranean",700.0,4.1,5385,77.61615515,12.93436454
91,Eat Street,Bangalore,Koramangala 6th Block,"11, 80 Feet Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore","North Indian, Chinese, Italian, Street Food, Desserts",200.0,4.3,753,77.625999,12.939496
92,Koramangala Social,Bangalore,Koramangala 7th Block,"118, Koramangala Industrial Area, Koramangala 7th Block, Bangalore","Continental, American",750.0,4.5,1288,77.61413042,12.93566181
93,AB's - Absolute Barbecues,Bangalore,Marathahalli,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore","European, Mediterranean, North Indian",700.0,4.6,6907,77.6993861,12.94993396
94,Flechazo,Bangalore,Marathahalli,"9/1, 1st Floor, Above Surya Nissan, VRR Orchid, Doddanakkundi, Marathahalli, Bangalore","Asian, Mediterranean, North Indian",600.0,4.4,983,77.696664,12.97537691
95,Onesta,Bangalore,New BEL Road,"215, 216 & 220, Devasandra Village, Kasaba Hobli, New BEL Road, Bangalore","Pizza, Cafe, Italian",300.0,4.6,627,77.5709967,13.0291977
96,Communiti,Bangalore,Residency Road,"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore",Continental,600.0,4.2,334,77.60817859,12.97253153
97,Big Brewsky,Bangalore,Sarjapur Road,"Behind MK Retail, Before WIPRO Corporate Office, Sarjapur Road, Bangalore","Finger Food, North Indian, Italian, Continental, Thai, South Indian",900.0,4.5,5705,77.68323686,12.91304096
98,Hoot,Bangalore,Sarjapur Road,"BBMP 2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore","Continental, Italian, North Indian",700.0,3.9,405,77.6784,12.914264
99,Farzi Cafe,Bangalore,UB City,"202, Level 2, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Modern Indian,750.0,4.4,754,77.5960137,12.9721612
100,Black N White Cafe,Bhopal,Arera Colony,"G-1, Raksha Tower, Eden Garden, Arera Colony, Bhopal","Cafe, Chinese, North Indian",100.0,3.3,51,77.419399,23.211529
101,Sagar Gaire Fast Food,Bhopal,Arera Colony,"10, Number Market, Arera Colony, Bhopal",Fast Food,125.0,4.9,427,77.435361,23.214294
102,The Kasbah,Bhopal,Arera Colony,"110/7, Mandakini, Opposite Union Bank, Kolar Main Road, Arera Colony, Bhopal","North Indian, Chinese",350.0,3.9,126,77.41722744,23.18499152
103,Bake N Shake,Bhopal,Arera Colony,"B-1, GM Tower,  Stop No. 10, Arera Colony, Bhopal",Fast Food,250.0,4.2,223,77.434976,23.214459
104,10 Downing Street,Bhopal,"DB City, Maharana Pratap Nagar","Third Floor, DB City Mall, Maharana Pratap Nagar, Bhopal","North Indian, Chinese",500.0,4.0,257,77.429989,23.232357
105,Pizza Hut,Bhopal,"DB City, Maharana Pratap Nagar","Third Floor, DB City Mall, Arera Hills, Maharana Pratap Nagar, Bhopal",Pizza,325.0,4.1,118,77.429845,23.232537
106,Violet Hour,Bhopal,Kohefiza,"Shop 3-4, Plot 5B, Sai Mehndi Appartment, B.D.A,  Kohefiza Main Road, Kohefiza, Bhopal",Bakery,250.0,3.8,33,77.3796051,23.26626099
107,Bapu Ki Kutia,Bhopal,Maharana Pratap Nagar,"Behind Jyoti Cineplex, Zone 1, Maharana Pratap Nagar, Bhopal","North Indian, Chinese, South Indian, Fast Food",275.0,3.5,175,77.433571,23.233219
108,Papa Mexicano,Bhopal,Maharana Pratap Nagar,"R-24, Zone II, Maharana Pratap Nagar, Bhopal","Fast Food, Mexican, Tex-Mex",175.0,3.6,20,77.43702042,23.23079116
109,Manohar Dairy And Restaurant,Bhopal,Maharana Pratap Nagar,"132, Zone 1, Maharana Pratap Nagar, Bhopal","North Indian, South Indian, Street Food, Bakery",200.0,4.4,243,77.434007,23.234249
110,Manohar Dairy And Restaurant,Bhopal,Peer Gate Area,"6, Hamidia Road, Opposite Alpana Cineplex, Peer Gate Area, Bhopal","North Indian, South Indian, Street Food, Bakery",200.0,4.1,238,77.408236,23.264015
111,Kebabsville - Sayaji Hotel,Bhopal,Sayaji Hotel,"A-3,Van Vihar Road, Prempura, TT Nagar, Bhopal",North Indian,900.0,4.3,128,77.373573,23.218998
112,Indian Coffee House,Bhopal,TT Nagar,"Near Apex Bank, TT Nagar, Bhopal",South Indian,250.0,3.9,161,77.401663,23.234631
113,Bake N Shake,Bhopal,TT Nagar,"Bhadbhada Road, Near Rang Mahal Talkies, TT Nagar, Bhopal",Fast Food,250.0,4.3,120,77.398886,23.235123
114,Silver Streak,Bhubaneshwar,"BMC Bhawani Mall, Sahid Nagar","Ground Floor, BMC Bhawani Mall, Sahid Nagar, Bhubaneshwar",Chinese,275.0,4.1,379,85.846838,20.286333
115,Central Perk 7,Bhubaneshwar,Chandrasekharpur,"Plot 133/A, District Center, Chandrasekharpur, Bhubaneshwar","Cafe, Charcoal Grill, Steak",300.0,4.5,145,85.81781287,20.32553933
116,The Chicken Dinesty,Bhubaneshwar,Chandrasekharpur,"District Center, Niladri Vihar Road, Chandrasekharpur, Bhubaneshwar","Fast Food, North Indian, Chinese",250.0,3.9,247,85.81856667,20.32634444
117,Michael's Kitchen,Bhubaneshwar,Gajapati Nagar,"7798, Sainik School Road, Gajapati Nagar, Bhubaneswar, Gajapati Nagar, Bhubaneshwar","North Indian, Asian, European",425.0,3.7,118,85.83394811,20.31149633
118,Mamma Mia - Mayfair Lagoon,Bhubaneshwar,"Mayfair Lagoon, Jayadev Vihar","Mayfair Lagoon, 8-B, Jayadev Vihar, Bhubaneshwar","Cafe, Italian, Mexican, Bakery",700.0,4.1,256,85.819178,20.301785
119,99 North Restaurant,Bhubaneshwar,Patia,"B36, Chandaka Industrial Estate, Near CTTC, Patia, Bhubaneshwar","North Indian, Chinese",225.0,3.6,173,85.80823611,20.34306944
120,Adda,Bhubaneshwar,Patia,"4th Floor, SJ Complex, KIIT College Road, Patia, Bhubaneshwar","North Indian, Chinese, Mexican, Beverages",300.0,3.8,424,85.82272222,20.353675
121,Chill Ummm,Bhubaneshwar,Patia,"DS Tower, 2nd Floor, Plot 516/1763/4177, Near Big Bazar, Patia, Bhubaneshwar","Chinese, North Indian, Cafe",225.0,3.7,338,85.825257,20.35324774
122,Lal Qila,Bhubaneshwar,Patia,"Sampark Vihar, Opposite Big Bazaar, KIIT Square, Patia, Bhubaneshwar","Mughlai, Chinese, North Indian",250.0,3.7,228,85.82685,20.35299167
123,Richard's Kitchen & Coffee Bar,Bhubaneshwar,Patia,"Rooftop Bata Showroom, KIIT Square, Patia, Bhubaneshwar","Cafe, Chinese, Fast Food, Seafood",225.0,3.8,253,85.82599327,20.35343289
124,Aangan Horizon,Bhubaneshwar,Patia,"Above Patia Pantaloons, Nandankanan Road, Patia, Bhubaneshwar","North Indian, Chinese, Continental",450.0,4.0,90,85.82289287,20.34347604
125,Brewberrys The Coffee Bar,Bhubaneshwar,Patia,"3, Infocity Road, Patia, Bhubaneshwar",Cafe,200.0,4.0,197,85.81112333,20.34314407
126,JUGAAD JN.,Bhubaneshwar,Patia,"KIIT Road, Opposite SBI, Patia, Bhubaneshwar","North Indian, Rajasthani",150.0,4.1,199,85.82225987,20.35348061
127,Cha cTea,Bhubaneshwar,Sahid Nagar,"797, Near Shivam Honda Showroom, Sahid Nagar, Bhubaneshwar","Cafe, Tea",250.0,3.8,56,85.84295925,20.29322917
128,Food Fever,Bhubaneshwar,Sahid Nagar,"A-54, Opposite Law University, Sahid Nagar, Bhubaneshwar","Chinese, North Indian",450.0,4.2,49,85.84516996,20.29575519
129,Mainland China,Bhubaneshwar,"The Crown, Nayapalli","The Crown, A1, Near IRC Village, Nayapalli, Bhubaneshwar",Chinese,750.0,4.3,345,85.818494,20.292363
130,Eram Rooftop,Bhubaneshwar,Unit 4,"206, 3rd Floor, Suryansh Enclave, Shastri Nagar, Unit 4, Bhubaneshwar","Asian, Continental",200.0,3.5,89,85.82669624,20.28398889
131,The Night Factory,Chandigarh,Chandigarh Industrial Area,"Phase 1, Chandigarh Industrial Area, Chandigarh","North Indian, Chinese, Continental, Pizza",425.0,3.7,665,76.801234,30.71005476
132,Brooklyn Central,Chandigarh,"Elante Mall, Chandigarh Industrial Area","Courtyard, Elante Mall, Phase 1, Chandigarh Industrial Area, Chandigarh","American, Cafe",800.0,4.2,676,76.8009555,30.7050693
133,Chili's,Chandigarh,"Elante Mall, Chandigarh Industrial Area","312 B, 3rd Floor, Elante Mall, Phase 1, Chandigarh Industrial Area, Chandigarh","Mexican, American, Italian",700.0,4.3,970,76.8007752,30.7056682
134,Kylin Experience,Chandigarh,"Elante Mall, Chandigarh Industrial Area","312 A, 3rd Floor, Elante Mall, Phase 1, Chandigarh Industrial Area, Chandigarh","Japanese, Chinese, Thai, Malaysian, Burmese, Asian",800.0,4.1,300,76.80064,30.7056102
135,Mocha,Chandigarh,"Elante Mall, Chandigarh Industrial Area","Ground Floor, Elante Mall, Phase 1, Chandigarh Industrial Area, Chandigarh","Continental, Italian, Thai, Finger Food",700.0,4.0,428,76.8008653,30.7051482
136,Pirates of Grill,Chandigarh,"Elante Mall, Chandigarh Industrial Area","313, Third Floor, Elante Mall, Phase 1, Chandigarh Industrial Area, Chandigarh","North Indian, Continental, Asian",600.0,4.0,1022,76.8009555,30.705775
137,Barbeque Nation,Chandigarh,Sector 26,"SCO 39, Madhya Marg, Sector 26, Chandigarh","North Indian, Chinese",650.0,4.5,1450,76.8051917,30.7257045
138,TGI Friday's,Chandigarh,Sector 26,"SCO 51, Madhya Marg, Sector 26, Chandigarh","American, Tex-Mex",900.0,4.3,228,76.8063634,30.7249431
139,Pal Dhaba,Chandigarh,Sector 28,"SCO 151 & 152, Sector 28 D, Sector 28, Chandigarh",North Indian,350.0,3.8,982,76.801316,30.7194841
