,Restaurant,City,Area,Address,Food type,Price,Avg ratings,Total ratings,longitude,latitude
1532,BTW,New Delhi,"Aggarwal City Plaza, Rohini","G-71 & G-87, Aggarwal City Plaza, Mangalam Palace, Rohini, New Delhi","Street Food, South Indian, Mithai",200.0,3.4,167,77.1177269,28.7003322
1533,Chilli Pepper,New Delhi,"Aggarwal City Plaza, Rohini","G-89-90, Near M2K Cinemas, Aggarwal City Plaza, Rohini, New Delhi","North Indian, Chinese",450.0,3.3,99,77.1176394,28.7006401
1534,Pizza Hut,New Delhi,"Aggarwal City Plaza, Rohini","17, Mangalam Place, Aggarwal City Plaza, Rohini, New Delhi","Italian, Pizza, Fast Food",500.0,2.6,125,77.1172629,28.7006935
1535,Puri Bakers,New Delhi,"Aggarwal City Plaza, Rohini","G-97, Aggarwal City Plaza, Manglam Place, Rohini, New Delhi","Bakery, Fast Food",150.0,3.7,124,77.1175742,28.7004868
1536,Jaiveer Naan & Chaap,New Delhi,"Aggarwal City Plaza, Rohini","Shop 95, Aggarwal City Plaza, Near M2K, Rohini, New Delhi","North Indian, Fast Food",250.0,2.2,79,77.1176368,28.7004261
1537,Aggarwal's Sweets Paradise,New Delhi,Alaknanda,"G-3, H/1, Alaknanda Shopping Complex, Alaknanda, New Delhi","Mithai, North Indian, South Indian, Street Food",200.0,2.9,8,77.2542078,28.52497428
1538,Bikaner Sweets,New Delhi,Alaknanda,"A-1/G3, Pushpa Bhawan, Alaknanda Market, Alaknanda, New Delhi","Mithai, Street Food",100.0,3.3,20,77.2542551,28.5253209
1539,Cafe Coffee Day,New Delhi,Alaknanda,"Nilgiri Market, Opposite Nilgiri Appartments, Alaknanda, New Delhi",Cafe,225.0,3.2,23,77.25014627,28.52813297
1540,Chandra Sweets,New Delhi,Alaknanda,"A-8, Alaknanda Shopping Complex, Near Tara Apartment, Alaknanda, New Delhi","Mithai, North Indian, South Indian, Street Food",200.0,3.0,7,77.2540557,28.5255719
1541,Chhotu Mashhoor Kathi Roll,New Delhi,Alaknanda,"Near Mother Dairy, Alaknanda Market, Alaknanda, New Delhi",Fast Food,75.0,2.7,11,77.25411225,28.52569245
1542,Green Chick Chop,New Delhi,Alaknanda,"10 & 11, Narmada Market, Opposite Don Bosco School, Alaknanda, New Delhi","Raw Meats, North Indian, Fast Food",175.0,3.2,35,77.24689879,28.52810941
1543,Lazeez Restaurant,New Delhi,Alaknanda,"J 15, Alaknanda Shopping Complex, Mini Market, Alaknanda, New Delhi","Chinese, North Indian, Italian, Mughlai",300.0,3.0,11,77.2545694,28.5256646
1544,Madhuvan Chinese Fast Food,New Delhi,Alaknanda,"Alaknanda Shopping Complex, Near Gangotri Complex Part B, Alaknanda, New Delhi",Chinese,150.0,2.5,32,77.2532459,28.52560319
1545,Mr Wong,New Delhi,Alaknanda,"Shop 4, Nilgiri Shopping Complex, Alaknanda, New Delhi","Chinese, Thai",400.0,3.2,10,77.249793,28.525675
1546,Mughlai Shahi Rasoi,New Delhi,Alaknanda,"B-13, DDA Shopping Complex, Alaknanda, New Delhi","North Indian, Mughlai",300.0,3.2,23,77.253851,28.5253274
1547,Mumbai Central Street Food,New Delhi,Alaknanda,"Shop 6, Narmada Market, Opposite Don Bosco School, Alaknanda, New Delhi","Street Food, Fast Food, Beverages",200.0,3.1,7,77.24780235,28.52774267
1548,Neha's Treat,New Delhi,Alaknanda,"Alaknanda Shopping Complex, Alaknanda, New Delhi",Chinese,225.0,2.9,42,77.2540306,28.5257928
